state,rla
Alabama,1
Alaska,0
Arizona,0
Arkansas,0
California,2
Colorado,3
Connecticut,1
Delaware,0
Florida,0
Georgia,2
Hawaii,0
Idaho,0
Illinois,1
Indiana,2
Iowa,0
Kansas,0
Kentucky,0
Louisiana,0
Maine,1
Maryland,0
Massachusetts,0
Michigan,2
Minnesota,0
Mississippi,0
Missouri,1
Montana,0
Nebraska,1
Nevada,2
New Hampshire,0
New Jersey,2
New Mexico,0
New York,0
North Carolina,0
North Dakota,0
Ohio,2
Oklahoma,0
Oregon,2
Pennsylvania,2
Rhode Island,2
South Carolina,1
South Dakota,1
Tennessee,1
Texas,1
Utah,0
Vermont,0
Virginia,2
Washington,2
West Virginia,0
Wisconsin,1
Wyoming,0
